date_of_death,new_deaths,cumulative_deaths,data_as_of,data_loaded_at
08/11/2020 12:00:00 AM,0,80,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/12/2020 12:00:00 AM,1,81,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/13/2020 12:00:00 AM,1,82,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/14/2020 12:00:00 AM,1,83,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/15/2020 12:00:00 AM,2,85,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/16/2020 12:00:00 AM,0,85,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/17/2020 12:00:00 AM,0,85,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/18/2020 12:00:00 AM,1,86,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/19/2020 12:00:00 AM,0,86,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/20/2020 12:00:00 AM,2,88,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/21/2020 12:00:00 AM,1,89,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/22/2020 12:00:00 AM,0,89,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/23/2020 12:00:00 AM,0,89,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/24/2020 12:00:00 AM,0,89,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/25/2020 12:00:00 AM,0,89,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/26/2020 12:00:00 AM,1,90,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/27/2020 12:00:00 AM,1,91,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/28/2020 12:00:00 AM,0,91,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/29/2020 12:00:00 AM,1,92,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/30/2020 12:00:00 AM,0,92,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/31/2020 12:00:00 AM,2,94,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/01/2020 12:00:00 AM,1,95,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/02/2020 12:00:00 AM,0,95,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
